Language_ID,Language_Name,ISO_Code,Family_ID,Genus_ID,Status,Macroarea,Latitude,Longitude,Countrycodes
bamb1270,Bambam,ptu,12,87,unknown,Papunesia,-3.02759,119.201,ID
bara1361,Barambu,brm,4,106,safe,Africa,3.34642,26.861,CD
gunw1252,Bininj Gun-Wok,gup,47,111,unknown,Australia,-12.3398,133.358,AU
band1339,Bandjalang (Casino),bdy,8,112,unknown,Australia,-28.3458,152.859,AU
tach1249,Berber (Chaouia),shy,2,113,safe,Africa,35.1867,6.88901,DZ
bell1243,Bella Coola,blc,60,114,critically endangered,North America,52.3448,-126.689,CA
berb1259,Berbice Dutch Creole,brc,21,34,extinct,South America,5.3829,-58.0002,GY
bada1257,Badaga,bfq,61,115,definitely endangered,Eurasia,11.3094,76.5974,IN
budu1248,Budukh,bdk,26,32,unknown,Eurasia,41.2272,48.3353,AZ
badi1246,Badimaya,bia,8,116,safe,Australia,-29.0647,117.246,AU
budu1250,Budu,buu,4,31,unknown,Africa,2.00501,27.951,CD
baha1258,Baham,bdw,62,117,safe,Papunesia,-3.10628,132.637,ID
bena1264,Benabena,bef,25,28,safe,Papunesia,-6.09974,145.534,PG
chit1275,Bengali (Chittagong),ctg,24,84,safe,Eurasia,20.831,93.1695,BD
beem1239,Beembe,beq,4,31,unknown,Africa,-3.95895,14.1,CG
idaa1241,Begak-Ida'an,dbj,12,118,unknown,Papunesia,5.29059,118.515,MY
beja1238,Beja,bej,2,119,unknown,Africa,17.2436,36.6666,ER SD
